rij,obs,pop,houseType,residenceStatus,kom,sex,label,buurt
49,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L49-h,1768,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
50,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L50-h,2118,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
51,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L51-h,1500,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
52,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L52-h,1762,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
53,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L53-h,2732,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
54,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L54-h,2475,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt I,https://adamlink.nl/geo/district/buurt-j/133
55,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L55-h,2815,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt K,https://adamlink.nl/geo/district/buurt-k/135
56,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L56-h,3393,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt L,https://adamlink.nl/geo/district/buurt-l/119
57,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L57-h,2610,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt M,https://adamlink.nl/geo/district/buurt-m/132
58,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L58-h,2701,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt N,https://adamlink.nl/geo/district/buurt-n/139
