rij,obs,pop,houseType,residenceStatus,kom,sex,buurtLabel,buurt,nadere_omschrijving1,nadere_omschrijving2
159,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I159-h,2,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,"Gesticht ""de Voorzienigheid""",Kom
160,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I160-h,17,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,Luthers Diaconiehofje,Kom
161,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I161-h,20,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,"Gesticht ""Venetia""",Kom
162,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I162-h,2,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,R. C. Jongens weeshuis,Kom
163,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I163-h,410,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,Overige huizen,Kom
164,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I164-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,St. Aloysius-gesticht,Kom
165,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I165-h,505,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,Overige huizen,Kom
166,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I166-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Toevlugt voor behoeftigen,Kom
167,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I167-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Hofje van de wed. Roosen,Kom
168,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I168-h,417,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Overige huizen,Kom
169,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I169-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Gesticht Stads-bestedelingen,Kom
170,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I170-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Kosthuis No. 1,Kom
171,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I171-h,429,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Overige huizen,Kom
172,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I172-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Instituut tot onderwijs van Blinden,Kom
173,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I173-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Weeshuis ""de Oranjeappel""",Kom
174,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I174-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Hof ""Liefde is het Fundament""",Kom
175,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I175-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Nieuw Suikerhofje,Kom
176,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I176-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,R. C. Ziekenverpleging,Kom
177,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I177-h,548,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Overige huizen,Kom
178,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I178-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Kweekschool voor de Zeevaart,Kom
179,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I179-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Gesticht van Liefdadigheid,Kom
180,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I180-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Burgerziekenhuis,Kom
181,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I181-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Pastorie der Alg. Hulpkerk,Kom
182,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I182-h,350,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Overige huizen,Kom
183,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I183-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,St. Andrieshofje,Kom
184,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I184-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,"Christ. Geref. Wees-, Oude Mannen- en Vrouwenhuis",Kom
