rij,obs,pop,houseType,residenceStatus,kom,sex
600,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M600-h,6112,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
601,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M601-h,6040,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
602,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M602-h,11,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
603,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M603-h,30,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
604,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M604-h,4,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
606,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M606-h,7526,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
607,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M607-h,29,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
608,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M608-h,26,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
609,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M609-h,13,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
610,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M610-h,4067,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
