rij,obs,pop,houseType,residenceStatus,kom,sex,description,buurt
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F108-h,53,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F110-h,66,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F112-h,208,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F114-h,205,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt VV,https://adamlink.nl/geo/district/buurt-vv/104
118,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F118-h,97,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103
119,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F119-h,138,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123
121,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F121-h,63,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt IJ IJ,https://adamlink.nl/geo/district/buurt-yy/124
123,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F123-h,76,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,,Buiten de kom. Buurt ZZ,https://adamlink.nl/geo/district/buurt-zz/150
41,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F41-h,47,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt A,https://adamlink.nl/geo/district/buurt-a/134
42,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F42-h,23,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt B,https://adamlink.nl/geo/district/buurt-b/136
44,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F44-h,56,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt C,https://adamlink.nl/geo/district/buurt-c/141
46,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F46-h,46,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt D,https://adamlink.nl/geo/district/buurt-d/131
