rij,Ligging,BuurtLabel,buurt,Overig,Beschrijving
251,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,Keeten
252,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,Arken
253,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,,Wilhelmina Gasthuis
254,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,,Amst. Huishoudschool
255,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,,Gesticht Barbara
256,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,,Diac. Weesh. der N. H. G.
257,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,Overige huizen,
258,Kom,X.X,https://adamlink.nl/geo/district/buurt-xx/123,,Keet
259,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,Henriette Hofje
260,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,Gest. v. volwassen blinden
261,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,Instit. onderw. v. blinden
262,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,St. Vincentius Gesticht
263,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,St. Joseph Gezellenvereen.
264,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,Overige huizen,
265,Kom,IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124,,Keeten
266,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,Burger Ziekenhuis
267,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,St. Barbara-School
268,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,Holthuijsen-Stichting
269,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,St. Elizabeth-Gesticht
270,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,"O.L. Vrouwe Gasthuis, R.K. Ziekenverpleging"
271,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,Overige huizen,
272,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,Keeten
273,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,Woonwagens
274,Kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/150,,Arken
275,Kom,O.N.A,,,Strafgevangenis
276,Kom,O.N.A,,,Luth. Diaconie-Inrichting
277,Kom,O.N.A,,,R.K. School van de H. Joh.
278,Kom,O.N.A,,,Gesticht de Eendracht
279,Kom,O.N.A,,,R.K. Weeshuis
280,Kom,O.N.A,,Overige huizen,
281,Kom,O.N.A,,,Keeten
282,Kom,O.N.A,,,Arken
283,Kom,O.N.A,,,Woonwagens
285,Buiten kom,L,https://adamlink.nl/geo/district/buurt-l/,Huizen,
286,Buiten kom,L,https://adamlink.nl/geo/district/buurt-l/,,Keeten
287,Buiten kom,L,https://adamlink.nl/geo/district/buurt-l/,,Arken
288,Buiten kom,L,https://adamlink.nl/geo/district/buurt-l/,,Tijd. aanw. schip
289,Buiten kom,W.W,https://adamlink.nl/geo/district/buurt-ww/,Huizen,
290,Buiten kom,W.W,https://adamlink.nl/geo/district/buurt-ww/,,Keeten
291,Buiten kom,Z.Z,https://adamlink.nl/geo/district/buurt-zz/,Huizen,
292,Buiten kom,O.N.A,,Huizen,
293,Buiten kom,O.N.A,,,Keeten
294,Buiten kom,,,Schepen,Schipperij
295,Buiten kom,,,,"Schipperij, Tijd. aanw. schepen"
